Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777154852,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777154853,2,,Aggregated,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,1,0,295.5337859457359,295.5337859457359,295.5337859457359,295.5337859457359,1611.0
1777154854,3,,Aggregated,0.000000,0.000000,500,500,500,500,500,500,500,500,500,500,500,2,0,300,395.94444300746545,295.5337859457359,496.35510006919503,1596.5
1777154855,4,,Aggregated,1.000000,0.000000,300,300,500,500,500,500,500,500,500,500,500,4,0,290,287.9888985189609,69.19560802634805,496.35510006919503,1589.25
1777154856,5,,Aggregated,1.000000,0.000000,290,300,300,500,500,500,500,500,500,500,500,5,0,290,249.94700781535357,69.19560802634805,496.35510006919503,1587.8
1777154857,6,,Aggregated,1.000000,0.000000,290,290,300,300,500,500,500,500,500,500,500,6,0,240,247.63917486416176,69.19560802634805,496.35510006919503,1586.8333333333333
1777154858,7,,Aggregated,1.000000,0.000000,240,290,300,300,500,500,500,500,500,500,500,8,0,230,228.49609202239662,69.19560802634805,496.35510006919503,1585.625
1777154859,8,,Aggregated,1.250000,0.000000,230,240,290,300,500,500,500,500,500,500,500,10,0,130,208.83332052035257,69.19560802634805,496.35510006919503,1584.9
1777154860,9,,Aggregated,1.333333,0.000000,130,230,240,290,300,500,500,500,500,500,500,13,0,130,185.05998824436503,69.19560802634805,496.35510006919503,1584.2307692307693
1777154861,10,,Aggregated,1.428571,0.000000,120,130,240,290,300,500,500,500,500,500,500,15,0,120,168.76045681225756,54.13441697601229,496.35510006919503,1583.9333333333334
1777154862,12,,Aggregated,1.500000,0.000000,110,130,230,240,300,500,500,500,500,500,500,17,0,110,161.57235771499793,54.13441697601229,496.35510006919503,1583.7058823529412
1777154863,13,,Aggregated,1.555556,0.000000,110,120,130,230,290,300,500,500,500,500,500,21,0,110,147.71881986719868,49.640994053334,496.35510006919503,1583.3809523809523
1777154864,14,,Aggregated,1.600000,0.000000,110,110,130,230,290,300,500,500,500,500,500,24,0,110,139.86196900562695,49.640994053334,496.35510006919503,1583.2083333333333
1777154865,15,,Aggregated,1.800000,0.000000,110,110,130,130,290,300,500,500,500,500,500,28,0,100,132.86498104155595,49.640994053334,496.35510006919503,1583.0357142857142
1777154866,16,,Aggregated,2.100000,0.000000,100,110,120,130,240,300,500,500,500,500,500,31,0,100,130.01179780750985,49.640994053334,496.35510006919503,1582.9354838709678
1777154867,17,,Aggregated,2.400000,0.000000,100,110,120,130,240,300,500,500,500,500,500,34,0,100,129.79177456102607,49.640994053334,496.35510006919503,1582.8529411764705
1777154868,18,,Aggregated,2.500000,0.000000,100,110,120,130,240,300,500,500,500,500,500,39,0,100,125.43472587668265,49.640994053334,496.35510006919503,1582.7435897435898
1777154869,19,,Aggregated,2.800000,0.000000,100,110,110,120,230,290,500,500,500,500,500,43,0,100,122.16976386235031,49.640994053334,496.35510006919503,1582.6744186046512
1777154870,20,,Aggregated,2.900000,0.000000,99,110,110,120,230,290,500,500,500,500,500,47,0,99,119.13973002129809,49.640994053334,496.35510006919503,1582.6170212765958
1777154871,22,,Aggregated,3.200000,0.000000,98,110,110,110,180,290,300,500,500,500,500,52,0,97,115.59955790513553,49.640994053334,496.35510006919503,1582.5576923076924
1777154872,23,,Aggregated,3.400000,0.000000,98,100,110,110,180,290,300,500,500,500,500,56,0,97,113.8249962158235,49.640994053334,496.35510006919503,1582.517857142857
1777154873,24,,Aggregated,3.700000,0.000000,98,100,110,110,130,240,300,500,500,500,500,62,0,97,111.74836061188891,49.640994053334,496.35510006919503,1582.467741935484
1777154874,25,,Aggregated,3.900000,0.000000,97,100,110,110,150,240,300,500,500,500,500,68,0,97,110.04890530774206,49.640994053334,496.35510006919503,1582.4264705882354
1777154875,26,,Aggregated,4.100000,0.000000,97,100,110,110,130,240,300,500,500,500,500,73,0,97,108.7932660968413,49.640994053334,496.35510006919503,1582.3972602739725
1777154876,27,,Aggregated,4.100000,0.000000,93,100,110,110,130,240,300,500,500,500,500,78,0,91,106.33947138483516,49.640994053334,496.35510006919503,1582.371794871795
1777154877,28,,Aggregated,4.500000,0.000000,90,100,110,110,130,230,300,500,500,500,500,84,0,89,104.17636583553671,49.640994053334,496.35510006919503,1582.345238095238
1777154878,29,,Aggregated,4.700000,0.000000,89,99,100,110,130,230,300,500,500,500,500,90,0,89,102.59522404909755,49.640994053334,496.35510006919503,1582.3222222222223
1777154879,30,,Aggregated,4.900000,0.000000,89,99,100,110,130,230,300,500,500,500,500,97,0,89,101.18961845975869,42.41457802709192,496.35510006919503,1582.298969072165
1777154880,32,,Aggregated,5.100000,0.000000,89,98,100,110,130,180,290,300,500,500,500,105,0,89,100.76761385425925,42.41457802709192,496.35510006919503,1582.2761904761905
1777154881,33,,Aggregated,5.200000,0.000000,90,98,100,110,120,180,290,300,500,500,500,111,0,90,100.05542086248563,42.41457802709192,496.35510006919503,1582.2612612612613
1777154882,34,,Aggregated,5.500000,0.000000,89,98,100,110,120,180,290,300,500,500,500,117,0,89,99.39392712703531,42.41457802709192,496.35510006919503,1582.2478632478633
1777154883,35,,Aggregated,5.800000,0.000000,89,97,100,110,120,150,290,300,500,500,500,125,0,89,98.19486161600798,42.41457802709192,496.35510006919503,1582.232
1777154884,36,,Aggregated,6.000000,0.000000,89,97,100,100,110,150,290,300,500,500,500,133,0,89,97.80331571495398,42.41457802709192,496.35510006919503,1582.218045112782
1777154885,37,,Aggregated,6.200000,0.000000,90,98,100,110,130,230,290,300,500,500,500,140,0,90,100.69936460931785,42.41457802709192,496.35510006919503,1582.2071428571428
1777154886,38,,Aggregated,6.600000,0.000000,89,97,100,110,120,210,290,300,500,500,500,149,0,89,99.02659049195131,42.41457802709192,496.35510006919503,1582.1946308724832
1777154887,39,,Aggregated,6.600000,0.000000,89,97,100,100,120,210,250,300,500,500,500,156,0,89,98.51229822752663,42.41457802709192,496.35510006919503,1582.1858974358975
1777154888,40,,Aggregated,7.000000,0.000000,90,98,100,110,130,180,250,300,500,500,500,164,0,90,99.15058807648786,42.41457802709192,496.35510006919503,1582.1768292682927
1777154889,42,,Aggregated,7.200000,0.000000,89,97,100,110,130,210,290,350,500,500,500,171,0,89,100.03407291144852,42.41457802709192,496.35510006919503,1582.169590643275
1777154890,43,,Aggregated,7.300000,0.000000,90,98,100,110,130,230,320,450,500,500,500,182,0,89,103.50787514247574,42.41457802709192,496.35510006919503,1582.1593406593406
1777154891,44,,Aggregated,7.600000,0.000000,90,98,100,110,130,230,320,450,500,500,500,191,0,90,102.92667966501797,41.689803008921444,496.35510006919503,1582.151832460733
1777154892,45,,Aggregated,7.700000,0.000000,90,97,100,110,130,230,300,350,500,500,500,201,0,90,102.11627497001834,41.689803008921444,496.35510006919503,1582.1442786069651
1777154893,46,,Aggregated,7.900000,0.000000,90,97,100,110,130,230,300,350,500,500,500,210,0,89,101.27182268604103,41.689803008921444,496.35510006919503,1582.1380952380953
1777154894,47,,Aggregated,8.300000,0.000000,89,97,100,110,130,230,300,350,500,500,500,217,0,89,100.5815133642328,41.689803008921444,496.35510006919503,1582.1336405529953
1777154895,48,,Aggregated,8.500000,0.000000,88,97,100,110,130,210,300,350,500,500,500,229,0,88,99.55854203011108,41.689803008921444,496.35510006919503,1582.1266375545852
1777154896,49,,Aggregated,8.600000,0.000000,89,97,100,110,130,210,300,350,500,500,500,240,0,89,99.93185965334608,41.689803008921444,496.35510006919503,1582.1208333333334
1777154897,50,,Aggregated,8.800000,0.000000,89,97,100,110,130,180,300,350,500,500,500,250,0,89,99.7215653876774,41.689803008921444,496.35510006919503,1582.116
1777154898,52,,Aggregated,9.000000,0.000000,89,97,100,110,130,180,290,350,500,500,500,260,0,88,99.22295851104606,41.689803008921444,496.35510006919503,1582.1115384615384
1777154899,53,,Aggregated,9.200000,0.000000,89,97,100,110,130,200,290,350,500,500,500,270,0,89,100.53342907404941,41.689803008921444,496.35510006919503,1582.1074074074074
1777154900,54,,Aggregated,9.600000,0.000000,89,97,100,110,130,190,290,350,500,500,500,281,0,89,100.19617949014204,36.74763301387429,496.35510006919503,1582.1032028469751
1777154901,55,,Aggregated,9.700000,0.000000,89,98,100,110,150,200,290,350,500,500,500,294,0,89,101.13026405768596,36.74763301387429,496.35510006919503,1582.0986394557824
1777154902,56,,Aggregated,10.000000,0.000000,90,98,110,110,150,200,290,320,500,500,500,305,0,90,101.80539604940559,36.74763301387429,496.35510006919503,1582.0950819672132
1777154903,57,,Aggregated,10.300000,0.000000,90,98,110,110,150,220,290,320,500,500,500,316,0,90,102.21035759881303,36.74763301387429,496.35510006919503,1582.0917721518988
1777154904,58,,Aggregated,10.400000,0.000000,90,99,110,120,160,220,290,320,500,500,500,328,0,90,103.48540488857685,36.74763301387429,496.35510006919503,1582.0884146341464
1777154905,59,,Aggregated,10.400000,0.000000,90,99,110,120,160,220,290,320,500,500,500,339,0,90,103.74063937059414,36.74763301387429,496.35510006919503,1582.085545722714
1777154906,60,,Aggregated,10.700000,0.000000,91,100,110,120,170,230,290,350,500,500,500,353,0,91,106.06707038724579,36.74763301387429,496.35510006919503,1582.0821529745042
1777154907,62,,Aggregated,11.100000,0.000000,90,99,110,120,170,230,290,350,500,500,500,365,0,90,104.61145486708169,33.54073397349566,496.35510006919503,1582.0794520547945
1777154908,63,,Aggregated,11.100000,0.000000,89,98,110,120,170,230,290,350,500,500,500,378,0,89,103.6271314618976,33.54073397349566,496.35510006919503,1582.0767195767196
1777154909,64,,Aggregated,11.500000,0.000000,89,98,110,120,170,220,290,350,500,500,500,390,0,89,102.5383518781895,33.54073397349566,496.35510006919503,1582.074358974359
1777154910,65,,Aggregated,11.600000,0.000000,88,97,110,120,160,220,290,320,500,500,500,403,0,88,101.9859843686334,33.54073397349566,496.35510006919503,1582.0719602977667
1777154911,66,,Aggregated,11.900000,0.000000,88,97,110,120,170,220,290,320,500,500,500,419,0,88,101.91317258829469,33.54073397349566,496.35510006919503,1582.0692124105012
1777154912,67,,Aggregated,12.200000,0.000000,88,97,110,120,160,210,290,320,500,500,500,432,0,88,101.35358183443141,33.54073397349566,496.35510006919503,1582.0671296296296
1777154913,68,,Aggregated,12.100000,0.000000,88,97,100,120,160,210,290,320,500,500,500,446,0,88,100.95443671403218,33.54073397349566,496.35510006919503,1582.0650224215246
1777154914,69,,Aggregated,12.600000,0.000000,87,97,100,120,170,220,290,350,500,500,500,458,0,87,101.67257179985002,33.54073397349566,496.35510006919503,1582.0633187772926
1777154915,70,,Aggregated,12.900000,0.000000,87,97,110,120,170,220,290,350,500,500,500,472,0,87,102.25892053661529,33.54073397349566,496.35510006919503,1582.0614406779662
1777154916,72,,Aggregated,12.900000,0.000000,87,97,110,120,170,220,290,350,500,500,500,490,0,87,101.6739822886124,33.54073397349566,496.35510006919503,1582.0591836734693
1777154917,73,,Aggregated,13.200000,0.000000,87,96,100,120,160,210,290,320,500,500,500,504,0,87,100.85303906816989,33.54073397349566,496.35510006919503,1582.0575396825398
1777154918,74,,Aggregated,13.100000,0.000000,86,95,100,110,160,210,290,320,500,500,500,520,0,86,99.84662260461707,33.54073397349566,496.35510006919503,1582.0557692307693
1777154919,75,,Aggregated,13.800000,0.000000,86,94,100,110,150,210,290,320,500,500,500,533,0,86,99.33056645283186,33.54073397349566,496.35510006919503,1582.0544090056285
1777154920,76,,Aggregated,13.900000,0.000000,86,94,100,110,150,210,290,320,500,500,500,548,0,86,98.42388999111353,33.54073397349566,496.35510006919503,1582.052919708029
1777154921,77,,Aggregated,13.900000,0.000000,85,93,100,110,150,210,270,320,500,500,500,565,0,85,97.49377837004882,33.299222006462514,496.35510006919503,1582.0513274336283
1777154922,78,,Aggregated,14.300000,0.000000,85,93,100,110,150,200,270,320,500,500,500,582,0,85,96.97922842602703,33.299222006462514,496.35510006919503,1582.0498281786943
1777154923,79,,Aggregated,14.400000,0.000000,85,93,100,110,150,210,280,320,500,500,500,596,0,85,97.48320503768998,33.299222006462514,496.35510006919503,1582.0486577181207
1777154924,80,,Aggregated,14.500000,0.000000,84,93,100,110,150,210,280,310,500,500,500,613,0,84,97.2675955603674,33.299222006462514,496.35510006919503,1582.047308319739
1777154925,82,,Aggregated,15.000000,0.000000,84,93,100,110,150,200,280,310,500,500,500,629,0,84,96.55731927569428,33.299222006462514,496.35510006919503,1582.046104928458
1777154926,83,,Aggregated,15.200000,0.000000,84,93,100,110,150,200,280,310,500,500,500,644,0,84,96.2757646076899,33.299222006462514,496.35510006919503,1582.0450310559006
1777154927,84,,Aggregated,15.100000,0.000000,84,93,100,110,150,190,270,310,500,500,500,663,0,84,96.06693398985635,33.299222006462514,496.35510006919503,1582.0437405731523
1777154928,85,,Aggregated,15.800000,0.000000,83,92,100,110,150,210,280,310,500,500,500,680,0,83,96.47338111878044,33.299222006462514,496.35510006919503,1582.0426470588236
1777154929,86,,Aggregated,15.700000,0.000000,83,92,100,110,150,200,280,310,500,500,500,696,0,83,95.96180269944925,33.299222006462514,496.35510006919503,1582.0416666666667
1777154930,87,,Aggregated,15.900000,0.000000,83,92,100,110,150,200,280,300,500,500,500,716,0,83,95.83122438218513,33.299222006462514,496.35510006919503,1582.0405027932961
1777154931,88,,Aggregated,16.400000,0.000000,83,92,100,110,150,200,280,300,500,500,500,731,0,83,95.5282797434631,33.299222006462514,496.35510006919503,1582.0396716826265
1777154932,89,,Aggregated,16.200000,0.000000,83,92,100,110,140,190,280,300,500,500,500,751,0,83,95.41883164633576,33.299222006462514,496.35510006919503,1582.0386151797604
1777154933,90,,Aggregated,16.800000,0.000000,83,92,100,110,140,190,280,300,500,500,500,769,0,83,95.13204647603557,33.299222006462514,496.35510006919503,1582.037711313394
1777154934,92,,Aggregated,17.200000,0.000000,83,92,100,110,140,190,280,300,500,500,500,786,0,83,94.90365757750295,33.299222006462514,496.35510006919503,1582.0368956743002
1777154935,93,,Aggregated,17.000000,0.000000,83,92,100,110,140,190,280,300,500,500,500,808,0,83,95.13084105683357,33.299222006462514,496.35510006919503,1582.0358910891089
1777154936,94,,Aggregated,17.600000,0.000000,82,92,100,110,140,190,280,300,500,500,500,824,0,82,94.79580277879948,33.299222006462514,496.35510006919503,1582.0351941747572
1777154937,95,,Aggregated,17.500000,0.000000,82,91,100,110,140,190,280,300,500,500,500,845,0,82,94.55742340937212,33.299222006462514,496.35510006919503,1582.0343195266273
1777154938,96,,Aggregated,17.800000,0.000000,82,91,99,110,140,180,280,300,500,500,500,862,0,82,94.16834547442629,33.299222006462514,496.35510006919503,1582.0336426914153
1777154939,97,,Aggregated,18.200000,0.000000,82,91,99,110,140,190,280,300,500,500,500,879,0,82,94.33357765663953,33.299222006462514,496.35510006919503,1582.032992036405
1777154940,98,,Aggregated,18.200000,0.000000,82,91,100,110,140,190,270,290,500,500,500,905,0,82,94.38483354182739,33.299222006462514,496.35510006919503,1582.032044198895
1777154941,99,,Aggregated,18.600000,0.000000,82,91,100,110,140,180,270,290,500,500,500,923,0,82,93.90672187437934,33.05191302206367,496.35510006919503,1582.0314192849405
1777154942,100,,Aggregated,18.700000,0.000000,81,91,99,110,140,180,270,290,500,500,500,943,0,81,93.3586908367335,33.05191302206367,496.35510006919503,1582.0307529162249
1777154943,102,,Aggregated,18.900000,0.000000,81,91,99,110,140,180,270,290,500,500,500,962,0,81,92.99474681622064,33.05191302206367,496.35510006919503,1582.0301455301455
1777154944,103,,Aggregated,19.200000,0.000000,81,91,99,110,140,180,270,290,500,500,500,981,0,81,92.80863768614783,33.05191302206367,496.35510006919503,1582.0295616717635
1777154945,104,,Aggregated,19.300000,0.000000,81,91,99,110,140,180,260,290,450,500,500,1005,0,81,92.82498169338228,33.05191302206367,496.35510006919503,1582.028855721393
1777154946,105,,Aggregated,19.500000,0.000000,81,91,99,110,140,180,270,290,450,500,500,1024,0,81,93.60460295488338,33.05191302206367,496.35510006919503,1582.0283203125
1777154947,106,,Aggregated,19.900000,0.000000,81,91,99,110,140,180,270,290,450,500,500,1048,0,81,93.1633058967618,33.05191302206367,496.35510006919503,1582.0276717557251
1777154948,107,,Aggregated,19.900000,0.000000,81,90,98,110,140,180,270,290,450,500,500,1069,0,81,92.87516344177482,33.05191302206367,496.35510006919503,1582.0271281571563
1777154949,108,,Aggregated,20.100000,0.000000,81,90,98,110,140,180,270,290,450,500,500,1089,0,81,92.4908513383071,33.05191302206367,496.35510006919503,1582.0266299357208
1777154950,109,,Aggregated,20.600000,0.000000,80,89,97,100,130,180,270,290,450,500,500,1112,0,80,91.77288319381614,29.797527939081192,496.35510006919503,1582.0260791366907
1777154951,110,,Aggregated,20.600000,0.000000,80,89,97,100,130,180,270,290,450,500,500,1134,0,80,91.19587519045548,29.797527939081192,496.35510006919503,1582.0255731922398
1777154952,112,,Aggregated,20.800000,0.000000,79,89,97,100,130,180,260,290,450,500,500,1158,0,79,90.7866580059731,29.797527939081192,496.35510006919503,1582.025043177893
1777154953,113,,Aggregated,21.100000,0.000000,79,89,97,100,130,180,270,290,450,500,500,1179,0,79,90.95736256657615,29.797527939081192,496.35510006919503,1582.0245971162
1777154954,114,,Aggregated,21.200000,0.000000,79,89,97,100,130,180,270,290,450,500,500,1202,0,79,91.14020067277193,29.797527939081192,496.35510006919503,1582.0241264559068
1777154955,115,,Aggregated,21.500000,0.000000,79,89,97,100,130,180,270,290,450,500,500,1225,0,79,90.68361987093729,29.797527939081192,496.35510006919503,1582.0236734693879
1777154956,116,,Aggregated,21.900000,0.000000,79,88,97,100,130,180,270,290,450,500,500,1249,0,79,90.46691467312931,29.797527939081192,496.35510006919503,1582.0232185748598
1777154957,117,,Aggregated,21.900000,0.000000,79,88,96,100,130,180,260,290,450,500,500,1274,0,79,90.0864695446285,29.797527939081192,496.35510006919503,1582.0227629513345
1777154958,118,,Aggregated,22.400000,0.000000,79,88,96,100,130,180,260,290,450,500,500,1293,0,79,89.94464020475988,29.797527939081192,496.35510006919503,1582.0224284609435
1777154959,119,,Aggregated,22.200000,0.000000,79,88,96,100,130,180,260,290,450,500,500,1321,0,79,89.83389836705003,29.797527939081192,496.35510006919503,1582.0219530658592
1777154960,120,,Aggregated,22.600000,0.000000,78,87,96,100,130,180,260,290,450,500,500,1344,0,78,89.31237000580863,29.25826294813305,496.35510006919503,1582.0215773809523
1777154961,122,,Aggregated,22.800000,0.000000,78,87,95,100,130,180,260,290,450,500,500,1369,0,78,88.96122406564389,29.07659695483744,496.35510006919503,1582.0211833455078
1777154962,123,,Aggregated,23.300000,0.000000,78,87,95,100,130,180,260,290,450,500,500,1396,0,78,88.68004062423485,29.07659695483744,496.35510006919503,1582.0207736389684
1777154963,124,,Aggregated,23.400000,0.000000,78,87,95,100,130,180,260,290,450,500,500,1415,0,78,88.40833338069673,29.07659695483744,496.35510006919503,1582.0204946996466
1777154964,125,,Aggregated,23.300000,0.000000,78,86,94,100,130,170,260,290,450,500,500,1446,0,78,88.02902624255786,29.07659695483744,496.35510006919503,1582.0200553250345
1777154965,126,,Aggregated,24.000000,0.000000,78,86,94,100,130,170,250,290,450,500,500,1468,0,78,87.86850527616609,29.07659695483744,496.35510006919503,1582.0197547683924
1777154966,127,,Aggregated,23.700000,0.000000,78,86,94,100,130,170,250,290,450,500,500,1494,0,78,87.62794403344333,29.07659695483744,496.35510006919503,1582.0194109772424
1777154967,128,,Aggregated,24.200000,0.000000,78,86,94,100,130,170,250,290,450,500,500,1523,0,78,87.39137626000823,29.07659695483744,496.35510006919503,1582.0190413657256
1777154968,129,,Aggregated,24.400000,0.000000,78,86,94,100,130,170,250,290,450,500,500,1542,0,78,87.26726055977836,29.07659695483744,496.35510006919503,1582.0188067444876
1777154969,130,,Aggregated,24.700000,0.000000,78,86,94,100,130,170,240,290,450,500,500,1573,0,78,87.56133399442554,29.07659695483744,496.35510006919503,1582.0184361093452
1777154970,132,,Aggregated,25.100000,0.000000,77,86,94,100,130,170,240,290,450,500,500,1599,0,77,87.21876719918771,29.07659695483744,496.35510006919503,1582.0181363352094
1777154971,133,,Aggregated,25.100000,0.000000,77,86,94,100,130,170,240,290,450,500,500,1623,0,77,86.89939761521423,28.468853910453618,496.35510006919503,1582.0178681454097
1777154972,134,,Aggregated,25.100000,0.000000,77,86,93,100,130,170,230,290,450,500,500,1656,0,77,86.6352907803184,28.468853910453618,496.35510006919503,1582.0175120772947
1777154973,135,,Aggregated,25.500000,0.000000,77,86,93,100,130,170,230,290,450,500,500,1676,0,77,86.65007376021745,28.468853910453618,496.35510006919503,1582.0173031026252
1777154974,136,,Aggregated,25.800000,0.000000,77,86,94,100,130,170,250,290,450,500,500,1705,0,77,87.56726710842732,28.468853910453618,496.35510006919503,1582.017008797654
1777154975,137,,Aggregated,26.000000,0.000000,77,86,94,100,130,180,250,290,450,500,500,1733,0,77,87.81506636811972,28.468853910453618,496.35510006919503,1582.0167339873053
1777154976,138,,Aggregated,25.700000,0.000000,77,86,94,100,130,180,240,290,450,500,500,1761,0,77,87.72197411421259,28.468853910453618,496.35510006919503,1582.0164679159568
1777154977,139,,Aggregated,26.200000,0.000000,77,86,94,100,130,180,240,290,450,500,500,1791,0,77,87.23401564953663,28.468853910453618,496.35510006919503,1582.0161920714684
1777154978,141,,Aggregated,26.700000,0.000000,77,86,94,100,130,170,240,290,450,500,500,1813,0,77,87.16311632944256,28.468853910453618,496.35510006919503,1582.0159955874242
1777154979,142,,Aggregated,27.000000,0.000000,77,86,94,100,130,170,240,290,500,1100,1100,1846,0,77,87.43047556177211,28.468853910453618,1104.7458519460633,1582.0157096424703
1777154980,143,,Aggregated,26.800000,0.000000,77,86,94,100,130,170,240,290,500,1100,1100,1874,0,77,87.35917255724954,28.468853910453618,1104.7458519460633,1582.0154749199573
1777154981,144,,Aggregated,26.800000,0.000000,76,86,94,100,130,170,240,290,500,1100,1100,1904,0,76,87.1040154164833,28.468853910453618,1104.7458519460633,1582.015231092437
1777154982,145,,Aggregated,27.400000,0.000000,76,85,93,100,130,170,240,290,500,1100,1100,1933,0,76,86.92843024450293,28.468853910453618,1104.7458519460633,1582.0150025866528
1777154983,146,,Aggregated,27.800000,0.000000,76,85,93,100,130,170,240,290,500,1100,1100,1959,0,76,86.69926713995926,28.468853910453618,1104.7458519460633,1582.0148034711588
1777154984,147,,Aggregated,28.000000,0.000000,76,85,93,100,130,170,240,290,500,1100,1100,1990,0,76,86.91563739320824,28.468853910453618,1104.7458519460633,1582.0145728643215
1777154985,148,,Aggregated,27.900000,0.000000,76,85,93,100,130,170,240,290,450,1100,1100,2022,0,76,86.8060039299928,28.468853910453618,1104.7458519460633,1582.0143422354106
1777154986,149,,Aggregated,28.200000,0.000000,76,85,93,100,130,170,230,290,450,1100,1100,2051,0,76,86.60107040094408,28.468853910453618,1104.7458519460633,1582.0141394441737
1777154987,151,,Aggregated,28.700000,0.000000,76,85,93,100,130,170,230,290,450,1100,1100,2082,0,76,86.4104898897533,28.468853910453618,1104.7458519460633,1582.0139289145052
1777154988,152,,Aggregated,28.700000,0.000000,76,85,93,99,130,170,230,290,450,1100,1100,2110,0,76,86.28558300593338,28.468853910453618,1104.7458519460633,1582.0137440758294
1777154989,153,,Aggregated,28.800000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2141,0,76,85.97701291332046,28.468853910453618,1104.7458519460633,1582.013545072396
1777154990,154,,Aggregated,29.200000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2172,0,76,86.15077244717942,28.468853910453618,1104.7458519460633,1582.0133517495397
1777154991,155,,Aggregated,29.300000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2205,0,76,85.75219092098679,28.468853910453618,1104.7458519460633,1582.0131519274375
1777154992,156,,Aggregated,29.700000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2237,0,76,85.72240289529452,28.468853910453618,1104.7458519460633,1582.0129637907912
1777154993,157,,Aggregated,29.500000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2265,0,76,85.86415760964361,28.468853910453618,1104.7458519460633,1582.0128035320088
1777154994,158,,Aggregated,29.900000,0.000000,76,84,92,99,130,170,230,290,450,1100,1100,2299,0,76,85.72990200937032,28.468853910453618,1104.7458519460633,1582.0126141800783
1777154995,159,,Aggregated,30.500000,0.000000,76,84,92,99,130,170,230,280,450,1100,1100,2326,0,76,85.58590899205383,28.468853910453618,1104.7458519460633,1582.012467755804
1777154996,161,,Aggregated,30.500000,0.000000,76,84,92,99,130,170,230,280,450,1100,1100,2363,0,76,85.57981962537716,28.468853910453618,1104.7458519460633,1582.0122725349133
1777154997,162,,Aggregated,30.700000,0.000000,75,84,92,98,120,170,230,280,450,1100,1100,2397,0,75,85.35218625813162,28.468853910453618,1104.7458519460633,1582.012098456404
1777154998,163,,Aggregated,30.900000,0.000000,76,84,92,99,120,170,230,280,450,1100,1100,2428,0,76,85.42249649116782,28.468853910453618,1104.7458519460633,1582.0119439868204
1777154999,164,,Aggregated,30.900000,0.000000,76,84,92,98,120,170,230,280,450,1100,1100,2460,0,76,85.47564574911986,28.468853910453618,1104.7458519460633,1582.0117886178862
1777155000,165,,Aggregated,31.500000,0.000000,75,84,92,98,120,170,230,280,450,1100,1100,2491,0,75,85.25666904405607,28.468853910453618,1104.7458519460633,1582.0116419108792
1777155001,166,,Aggregated,31.300000,0.000000,75,84,92,98,120,170,230,280,450,1100,1100,2528,0,75,85.27292124701397,28.468853910453618,1104.7458519460633,1582.0114715189873
1777155002,167,,Aggregated,31.900000,0.000000,75,84,91,98,120,170,230,280,450,1100,1100,2562,0,75,84.91077195687778,28.468853910453618,1104.7458519460633,1582.011319281811
1777155003,168,,Aggregated,32.100000,0.000000,75,84,91,98,120,170,230,280,450,1100,1100,2592,0,75,84.84005112552916,28.468853910453618,1104.7458519460633,1582.0111882716049
1777155004,169,,Aggregated,31.900000,0.000000,75,84,92,98,120,170,230,280,450,1100,1100,2619,0,75,84.99722304562289,28.468853910453618,1104.7458519460633,1582.0110729285987
1777155005,171,,Aggregated,32.100000,0.000000,75,84,92,98,130,170,240,290,450,1100,1100,2656,0,75,85.67864583248198,28.468853910453618,1104.7458519460633,1582.0109186746988
1777155006,172,,Aggregated,32.500000,0.000000,75,84,92,99,130,170,250,290,450,1100,1100,2698,0,75,85.75683942146108,28.353039058856666,1104.7458519460633,1582.0107487027428
1777155007,173,,Aggregated,32.900000,0.000000,75,84,92,99,130,170,250,290,450,1100,1100,2735,0,75,85.73892991917491,28.353039058856666,1104.7458519460633,1582.0106032906765
1777155008,174,,Aggregated,33.000000,0.000000,75,84,92,99,130,170,250,290,450,1100,1100,2764,0,75,85.67176683463545,28.353039058856666,1104.7458519460633,1582.010492040521
1777155009,175,,Aggregated,33.300000,0.000000,75,84,92,99,130,170,250,290,450,1100,1100,2793,0,75,85.60321759074097,28.353039058856666,1104.7458519460633,1582.0103831006086
1777155010,176,,Aggregated,33.300000,0.000000,75,84,92,98,130,170,250,290,450,1100,1100,2832,0,75,85.42790073594098,28.353039058856666,1104.7458519460633,1582.0102401129943
1777155011,177,,Aggregated,33.900000,0.000000,75,84,92,98,130,170,240,290,450,1100,1100,2874,0,75,85.14782833154187,28.353039058856666,1104.7458519460633,1582.010090466249
1777155012,178,,Aggregated,33.800000,0.000000,75,84,92,99,130,170,240,290,450,1100,1100,2913,0,75,85.39913160844881,28.353039058856666,1104.7458519460633,1582.0099553724683
1777155013,179,,Aggregated,34.100000,0.000000,75,84,92,99,130,170,240,290,450,1100,1100,2940,0,75,85.24755217431138,28.353039058856666,1104.7458519460633,1582.0098639455782
